Type,Id,Name,Durability,BasePower,UpgradeValue,CritChance,Price,SellPrice,Description
pickaxe,P001,낡은 철 곡괭이,50,10,2,5,100,25,
pickaxe,P002,단단한 구리 곡괭이,80,25,5,10,500,125,
pickaxe,P003,단단한 철 곡괭이,120,50,12,15,2000,500,
pickaxe,P004,빛나는 미스릴 곡괭이,200,100,25,25,8000,2000,
pickaxe,P005,다이아몬드 곡괭이,500,300,50,50,50000,12500,
armor,A001,헤진 작업복, 50, 5, 1, 0, 100, 25,
armor,A002,두꺼운 가죽 갑옷,100,10,3,0,600,150,
armor,A003,단단한 철 갑옷,150,15,5,0,2500,625,
armor,A004,티타늄 방호복,250,20,7,0,10000,2500,
armor,A005,다이아몬드 갑옷,500,40,15,0,60000,15000,
